benchmark;jvm;options;iteration;duration;CPU;DRAM;exitcode
h2;Graal;G1;2;39335369.525;1911600000.0;527990000.0;0
h2;Graal;5Parallel;2;38553024.785;1921640000.0;517870000.0;0
h2;Graal;5Concurent;2;38511894.8;1867680000.0;513770000.0;0
h2;Graal;1Parallel;2;40548864.196;1952720000.0;543100000.0;0
h2;Graal;1Concurent;2;38526290.104;1870130000.0;516610000.0;0
h2;Graal;DisableExplicitGC;2;41697967.51;2197570000.0;569350000.0;0
h2;Graal;ParallelCG;2;39732970.168000005;2023210000.0;534150000.0;0
h2;Graal;ParallelOldGC;2;37557726.960999995;1892300000.0;502770000.0;0
h2;J9;default;2;42351356.245;2124840000.0;562280000.0;0
h2;J9;ConcurrentScavenge;2;45922367.771000005;2386760000.0;610750000.0;0
h2;J9;ScvNoAdaptiveTenure;2;40524015.298;2151970000.0;547200000.0;0
h2;J9;Balanced;2;45739494.98;2299940000.0;613460000.0;0
h2;J9;Gencon;2;39731380.581999995;2099770000.0;527850000.0;0
h2;J9;Metronome;2;52709187.043000005;2626390000.0;695870000.0;0
h2;J9;Nogc;2;43335670.66;2192230000.0;574300000.0;0
h2;J9;Optavgpause;2;46446494.655;2323460000.0;612450000.0;0
h2;J9;Optthruput;2;43312620.953999996;2232030000.0;574060000.0;0
h2;OPEN;default;2;34993172.342999995;1678820000.0;465570000.0;0
h2;OPEN;G1;2;34860708.267;1766820000.0;462570000.0;0
h2;OPEN;5Parallel;2;35281854.421;1718950000.0;466800000.0;0
h2;OPEN;5Concurent;2;34251817.75;1723930000.0;459040000.0;0
h2;OPEN;1Parallel;2;34335851.06;1670270000.0;454210000.0;0
h2;OPEN;1Concurent;2;32731024.583;1640250000.0;437900000.0;0
h2;OPEN;DisableExplicitGC;2;35818561.21;1789620000.0;476700000.0;0
h2;OPEN;ParallelCG;2;32341650.213000003;1610510000.0;430430000.0;0
h2;OPEN;ParallelOldGC;2;32439539.563;1592930000.0;430380000.0;0
h2;OPEN;SerialGC;2;33518961.651;1610830000.0;445310000.0;0
h2;OPEN;Epsilon;2;13526161.002999999;671590000.0;178030000.0;0
lusearch;Graal;default;2;3233472.4639999997;194540000.0;47660000.0;0
lusearch;Graal;G1;2;2956344.393;177880000.0;41640000.0;0
lusearch;Graal;5Parallel;2;3287334.8389999997;200800000.0;46370000.0;0
lusearch;Graal;5Concurent;2;3145287.373;188010000.0;44680000.0;0
lusearch;Graal;1Parallel;2;2937180.025;183230000.0;43210000.0;0
lusearch;Graal;1Concurent;2;3256283.885;188150000.0;46290000.0;0
lusearch;Graal;DisableExplicitGC;2;3045599.8880000003;192370000.0;46440000.0;0
lusearch;Graal;ParallelCG;2;2944617.3210000005;181190000.0;44440000.0;0
lusearch;Graal;ParallelOldGC;2;3106329.4960000003;191390000.0;46410000.0;0
lusearch;J9;default;2;3478100.149;209580000.0;43730000.0;0
lusearch;J9;ConcurrentScavenge;2;3573667.232;211080000.0;44540000.0;0
lusearch;J9;ScvNoAdaptiveTenure;2;3457273.479;209520000.0;43560000.0;0
lusearch;J9;Balanced;2;4206617.067;251920000.0;54330000.0;0
lusearch;J9;Gencon;2;3267678.4760000003;190790000.0;41450000.0;0
