options;jvm;benchmark;pvalues;utests;effectsize
Epsilon;OPEN;philosopher;0.012185780355344813;0.0;1.0
1Parallel;OPEN;philosopher;0.4033953048926283;8.0;0.68
5Parallel;OPEN;reactors;0.47048642205878966;5.0;0.6875
DisableExplicitGC;OPEN;reactors;0.1939308522824107;3.0;0.8125
ParallelCG;OPEN;reactors;0.6650055421020291;6.0;0.625
ParallelOldGC;OPEN;reactors;0.1939308522824107;3.0;0.8125
1Concurent;OPEN;reactors;0.6650055421020291;6.0;0.625
SerialGC;OPEN;reactors;0.03038282197657749;0.0;1.0
5Concurent;OPEN;reactors;0.8852339144732015;8.0;0.5
G1;OPEN;reactors;0.06060196971200607;1.0;0.9375
Epsilon;OPEN;reactors;0.03038282197657749;16.0;0.0
1Parallel;OPEN;reactors;0.03038282197657749;0.0;1.0
5Parallel;OPEN;scrabble;0.8852339144732015;9.0;0.4375
DisableExplicitGC;OPEN;scrabble;0.06060196971200607;15.0;0.0625
ParallelCG;OPEN;scrabble;0.03038282197657749;0.0;1.0
ParallelOldGC;OPEN;scrabble;0.47048642205878966;11.0;0.3125
1Concurent;OPEN;scrabble;0.47048642205878966;11.0;0.3125
SerialGC;OPEN;scrabble;0.03038282197657749;0.0;1.0
5Concurent;OPEN;scrabble;0.03038282197657749;16.0;0.0
G1;OPEN;scrabble;0.06060196971200607;15.0;0.0625
Epsilon;OPEN;scrabble;0.03038282197657749;16.0;0.0
1Parallel;OPEN;scrabble;0.03038282197657749;0.0;1.0
