options;jvm;benchmark;pvalues;utests;effectsize
Metronome;J9;fj-kmeans;0.8345316227109287;11.0;0.56
Gencon;J9;fj-kmeans;1.0;13.0;0.48
Balanced;J9;fj-kmeans;1.0;13.0;0.48
Nogc;J9;fj-kmeans;0.6761033140231469;15.0;0.4
ConcurrentScavenge;J9;fj-kmeans;1.0;12.0;0.52
Optavgpause;J9;fj-kmeans;0.5308693039685082;16.0;0.36
Optthruput;J9;neo4j;0.8345316227109287;11.0;0.56
ScvNoAdaptiveTenure;J9;neo4j;0.012185780355344813;0.0;1.0
Metronome;J9;neo4j;0.012185780355344813;0.0;1.0
Gencon;J9;neo4j;1.0;12.0;0.52
Balanced;J9;neo4j;0.012185780355344813;0.0;1.0
Nogc;J9;neo4j;0.012185780355344813;0.0;1.0
ConcurrentScavenge;J9;neo4j;0.012185780355344813;0.0;1.0
Optavgpause;J9;neo4j;0.012185780355344813;0.0;1.0
Optthruput;J9;philosopher;0.4033953048926283;17.0;0.32
ScvNoAdaptiveTenure;J9;philosopher;1.0;12.0;0.52
Metronome;J9;philosopher;0.2962698714842864;7.0;0.72
Gencon;J9;philosopher;0.6761033140231469;15.0;0.4
Balanced;J9;philosopher;0.2962698714842864;7.0;0.72
Nogc;J9;philosopher;1.0;13.0;0.48
ConcurrentScavenge;J9;philosopher;0.8345316227109287;14.0;0.44
Optavgpause;J9;philosopher;0.09469294259947589;21.0;0.16
Optthruput;J9;reactors;0.11134688653314041;17.0;0.15
ScvNoAdaptiveTenure;J9;reactors;0.019964453305216043;0.0;1.0
Metronome;J9;reactors;0.019964453305216043;0.0;1.0
Gencon;J9;reactors;0.7133031738784577;12.0;0.4
Balanced;J9;reactors;0.019964453305216043;0.0;1.0
Nogc;J9;reactors;0.06619257972219345;18.0;0.1
ConcurrentScavenge;J9;reactors;0.9025232501776794;9.0;0.55
Optavgpause;J9;reactors;0.3912672792826394;6.0;0.7
Optthruput;J9;scrabble;0.1939308522824107;3.0;0.8125
ScvNoAdaptiveTenure;J9;scrabble;0.6650055421020291;6.0;0.625
Metronome;J9;scrabble;0.03038282197657749;0.0;1.0
Gencon;J9;scrabble;0.8852339144732015;7.0;0.5625
Balanced;J9;scrabble;0.06060196971200607;1.0;0.9375
Nogc;J9;scrabble;0.03038282197657749;0.0;1.0
ConcurrentScavenge;J9;scrabble;0.1939308522824107;3.0;0.8125
Optavgpause;J9;scrabble;0.03038282197657749;0.0;1.0
5Parallel;OPEN;avrora;0.07689626394376972;59.0;0.6989795918367347
DisableExplicitGC;OPEN;avrora;0.44836913851604354;115.0;0.413265306122449
ParallelCG;OPEN;avrora;0.6294858543167832;109.0;0.44387755102040816
ParallelOldGC;OPEN;avrora;0.8722376297868121;102.0;0.47959183673469385
1Concurent;OPEN;avrora;0.3462297896371178;77.0;0.6071428571428571
SerialGC;OPEN;avrora;0.3953072503151053;79.0;0.5969387755102041
5Concurent;OPEN;avrora;0.8722376297868121;94.0;0.5204081632653061
G1;OPEN;avrora;0.8722376297868121;102.0;0.47959183673469385
Epsilon;OPEN;avrora;0.010769318472118447;154.0;0.21428571428571427
1Parallel;OPEN;avrora;0.8004905884098723;92.0;0.5306122448979592
5Parallel;OPEN;h2;0.7196142711598057;92.0;0.4556213017751479
DisableExplicitGC;OPEN;h2;0.2484823586172853;61.5;0.636094674556213
ParallelCG;OPEN;h2;0.007660761135179473;137.0;0.1893491124260355
ParallelOldGC;OPEN;h2;0.9591007702858605;83.0;0.5088757396449705
1Concurent;OPEN;h2;0.9183089345454835;87.0;0.48520710059171596
SerialGC;OPEN;h2;0.04550026389635839;124.0;0.26627218934911245
5Concurent;OPEN;h2;0.6080768794659228;74.0;0.5621301775147929
G1;OPEN;h2;0.06486987027995908;48.0;0.7159763313609467
Epsilon;OPEN;h2;1.6496665061862602e-05;169.0;0.0
1Parallel;OPEN;h2;0.0008581206663936744;19.0;0.8875739644970414
