options;jvm;benchmark;pvalues;utests;effectsize
ScvNoAdaptiveTenure;J9;reactors;0.03733641592066288;1.0;0.95
Metronome;J9;reactors;0.019964453305216043;0.0;1.0
Gencon;J9;reactors;0.5402913746074199;7.0;0.65
Balanced;J9;reactors;0.019964453305216043;0.0;1.0
Nogc;J9;reactors;0.11134688653314041;17.0;0.15
ConcurrentScavenge;J9;reactors;0.9025232501776794;9.0;0.55
Optavgpause;J9;reactors;0.019964453305216043;0.0;1.0
Optthruput;J9;scrabble;0.11235119769046385;2.0;0.875
ScvNoAdaptiveTenure;J9;scrabble;0.6650055421020291;6.0;0.625
Metronome;J9;scrabble;0.03038282197657749;0.0;1.0
Gencon;J9;scrabble;0.8852339144732015;7.0;0.5625
Balanced;J9;scrabble;0.06060196971200607;1.0;0.9375
Nogc;J9;scrabble;0.03038282197657749;0.0;1.0
ConcurrentScavenge;J9;scrabble;0.1939308522824107;3.0;0.8125
Optavgpause;J9;scrabble;0.03038282197657749;0.0;1.0
5Parallel;OPEN;avrora;0.02907155995483806;50.0;0.7448979591836735
DisableExplicitGC;OPEN;avrora;0.8722376297868121;102.0;0.47959183673469385
ParallelCG;OPEN;avrora;0.9450520886884962;100.0;0.4897959183673469
ParallelOldGC;OPEN;avrora;0.7651995408617962;91.0;0.5357142857142857
1Concurent;OPEN;avrora;0.2602848338696486;73.0;0.6275510204081632
SerialGC;OPEN;avrora;0.2802443990324548;74.0;0.6224489795918368
5Concurent;OPEN;avrora;0.565733686277663;85.0;0.5663265306122449
G1;OPEN;avrora;0.8004905884098723;92.0;0.5306122448979592
Epsilon;OPEN;avrora;0.0508460958338979;141.0;0.28061224489795916
1Parallel;OPEN;avrora;0.5972229027923646;86.0;0.5612244897959183
5Parallel;OPEN;h2;0.8374719604535413;89.0;0.47337278106508873
DisableExplicitGC;OPEN;h2;0.4727889073230682;70.0;0.5857988165680473
ParallelCG;OPEN;h2;0.018325521931295465;131.0;0.22485207100591717
ParallelOldGC;OPEN;h2;0.7196142711598057;77.0;0.5443786982248521
1Concurent;OPEN;h2;1.0;84.0;0.5029585798816568
SerialGC;OPEN;h2;0.6816178642730836;76.0;0.5502958579881657
5Concurent;OPEN;h2;0.4727889073230682;70.0;0.5857988165680473
G1;OPEN;h2;0.16617010468287607;57.0;0.6627218934911243
Epsilon;OPEN;h2;1.6496665061862602e-05;169.0;0.0
1Parallel;OPEN;h2;0.0002715540868845109;13.0;0.9230769230769231
5Parallel;OPEN;lusearch;0.6080768794659228;95.0;0.4378698224852071
DisableExplicitGC;OPEN;lusearch;0.6816178642730836;76.0;0.5502958579881657
ParallelCG;OPEN;lusearch;0.13696741226229456;55.0;0.6745562130177515
ParallelOldGC;OPEN;lusearch;0.8777310415017161;81.0;0.5207100591715976
1Concurent;OPEN;lusearch;0.30506082202155305;105.0;0.378698224852071
SerialGC;OPEN;lusearch;0.3298783320498747;65.0;0.6153846153846154
5Concurent;OPEN;lusearch;0.7196142711598057;92.0;0.4556213017751479
G1;OPEN;lusearch;0.7196142711598057;77.0;0.5443786982248521
Epsilon;OPEN;lusearch;0.035503890649411694;43.0;0.7455621301775148
1Parallel;OPEN;lusearch;0.6444123337698114;94.0;0.4437869822485207
5Parallel;OPEN;lusearch-fix;0.7196142711598057;92.0;0.4556213017751479
DisableExplicitGC;OPEN;lusearch-fix;0.010344297202998076;34.0;0.7988165680473372
ParallelCG;OPEN;lusearch-fix;0.06486987027995908;48.0;0.7159763313609467
ParallelOldGC;OPEN;lusearch-fix;0.027445099375459536;41.0;0.757396449704142
1Concurent;OPEN;lusearch-fix;0.06486987027995908;48.0;0.7159763313609467
SerialGC;OPEN;lusearch-fix;0.007660761135179473;32.0;0.8106508875739645
5Concurent;OPEN;lusearch-fix;0.04550026389635839;45.0;0.7337278106508875
G1;OPEN;lusearch-fix;0.007660761135179473;32.0;0.8106508875739645
Epsilon;OPEN;lusearch-fix;0.0002715540868845109;13.0;0.9230769230769231
1Parallel;OPEN;lusearch-fix;0.2184091866192417;60.0;0.6449704142011834
5Parallel;OPEN;pmd;0.7976340690559742;79.0;0.5325443786982249
DisableExplicitGC;OPEN;pmd;1.0;84.0;0.5029585798816568
ParallelCG;OPEN;pmd;0.024044949905367985;129.0;0.23668639053254437
ParallelOldGC;OPEN;pmd;0.7976340690559742;79.0;0.5325443786982249
1Concurent;OPEN;pmd;0.8777310415017161;88.0;0.47928994082840237
SerialGC;OPEN;pmd;0.5049850750938458;71.0;0.5798816568047337
5Concurent;OPEN;pmd;0.7976340690559742;90.0;0.46745562130177515
G1;OPEN;pmd;0.44175632742491955;100.0;0.40828402366863903
Epsilon;OPEN;pmd;1.6496665061862602e-05;0.0;1.0
1Parallel;OPEN;pmd;3.269330273511375e-05;3.0;0.9822485207100592
5Parallel;OPEN;sunflow;0.6816178642730836;93.0;0.44970414201183434
DisableExplicitGC;OPEN;sunflow;0.010344297202998076;135.0;0.20118343195266272
ParallelCG;OPEN;sunflow;0.13696741226229456;114.0;0.3254437869822485
ParallelOldGC;OPEN;sunflow;0.30506082202155305;105.0;0.378698224852071
1Concurent;OPEN;sunflow;0.23820423879927;108.0;0.3609467455621302
SerialGC;OPEN;sunflow;0.18242243945173575;58.0;0.6568047337278107
5Concurent;OPEN;sunflow;0.30506082202155305;105.0;0.378698224852071
G1;OPEN;sunflow;0.1239358056727424;115.0;0.31952662721893493
Epsilon;OPEN;sunflow;1.6496665061862602e-05;169.0;0.0
1Parallel;OPEN;sunflow;0.08123065302087974;119.0;0.2958579881656805
5Parallel;OPEN;als;0.0367138563627041;2.0;0.92
DisableExplicitGC;OPEN;als;0.6761033140231469;10.0;0.6
ParallelCG;OPEN;als;0.012185780355344813;25.0;0.0
ParallelOldGC;OPEN;als;0.2100750407866585;6.0;0.76
1Concurent;OPEN;als;0.2100750407866585;6.0;0.76
SerialGC;OPEN;als;0.06010280593886631;22.0;0.12
5Concurent;OPEN;als;0.5308693039685082;9.0;0.64
G1;OPEN;als;0.4033953048926283;8.0;0.68
Epsilon;OPEN;als;0.012185780355344813;25.0;0.0
1Parallel;OPEN;als;0.012185780355344813;0.0;1.0
5Parallel;OPEN;dotty;0.2100750407866585;19.0;0.24
DisableExplicitGC;OPEN;dotty;1.0;13.0;0.48
ParallelCG;OPEN;dotty;0.012185780355344813;25.0;0.0
ParallelOldGC;OPEN;dotty;1.0;12.0;0.52
1Concurent;OPEN;dotty;0.6761033140231469;10.0;0.6
SerialGC;OPEN;dotty;0.012185780355344813;25.0;0.0
5Concurent;OPEN;dotty;0.06010280593886631;22.0;0.12
G1;OPEN;dotty;0.6761033140231469;10.0;0.6
Epsilon;OPEN;dotty;0.012185780355344813;25.0;0.0
1Parallel;OPEN;dotty;0.09469294259947589;4.0;0.84
5Parallel;OPEN;fj-kmeans;0.4033953048926283;17.0;0.32
DisableExplicitGC;OPEN;fj-kmeans;0.6761033140231469;15.0;0.4
ParallelCG;OPEN;fj-kmeans;0.8345316227109287;14.0;0.44
ParallelOldGC;OPEN;fj-kmeans;0.5308693039685082;9.0;0.64
1Concurent;OPEN;fj-kmeans;1.0;13.0;0.48
SerialGC;OPEN;fj-kmeans;0.5308693039685082;16.0;0.36
5Concurent;OPEN;fj-kmeans;0.2100750407866585;19.0;0.24
G1;OPEN;fj-kmeans;0.8345316227109287;14.0;0.44
Epsilon;OPEN;fj-kmeans;0.012185780355344813;0.0;1.0
1Parallel;OPEN;fj-kmeans;0.8345316227109287;14.0;0.44
5Parallel;OPEN;neo4j;0.4033953048926283;8.0;0.68
DisableExplicitGC;OPEN;neo4j;0.14367208180696023;20.0;0.2
ParallelCG;OPEN;neo4j;0.012185780355344813;25.0;0.0
ParallelOldGC;OPEN;neo4j;0.2100750407866585;19.0;0.24
1Concurent;OPEN;neo4j;1.0;13.0;0.48
SerialGC;OPEN;neo4j;0.012185780355344813;25.0;0.0
5Concurent;OPEN;neo4j;1.0;13.0;0.48
G1;OPEN;neo4j;0.5308693039685082;16.0;0.36
Epsilon;OPEN;neo4j;0.012185780355344813;25.0;0.0
1Parallel;OPEN;neo4j;0.012185780355344813;0.0;1.0
5Parallel;OPEN;philosopher;1.0;13.0;0.48
DisableExplicitGC;OPEN;philosopher;0.8345316227109287;14.0;0.44
ParallelCG;OPEN;philosopher;0.6761033140231469;10.0;0.6
ParallelOldGC;OPEN;philosopher;0.4033953048926283;8.0;0.68
1Concurent;OPEN;philosopher;0.8345316227109287;14.0;0.44
SerialGC;OPEN;philosopher;0.5308693039685082;16.0;0.36
5Concurent;OPEN;philosopher;0.6761033140231469;15.0;0.4
G1;OPEN;philosopher;0.4033953048926283;8.0;0.68
Epsilon;OPEN;philosopher;0.012185780355344813;0.0;1.0
1Parallel;OPEN;philosopher;0.4033953048926283;8.0;0.68
5Parallel;OPEN;reactors;0.11235119769046385;2.0;0.875
DisableExplicitGC;OPEN;reactors;0.11235119769046385;2.0;0.875
ParallelCG;OPEN;reactors;0.6650055421020291;6.0;0.625
ParallelOldGC;OPEN;reactors;0.06060196971200607;1.0;0.9375
1Concurent;OPEN;reactors;0.6650055421020291;6.0;0.625
SerialGC;OPEN;reactors;0.03038282197657749;0.0;1.0
5Concurent;OPEN;reactors;0.8852339144732015;7.0;0.5625
G1;OPEN;reactors;0.06060196971200607;1.0;0.9375
Epsilon;OPEN;reactors;0.03038282197657749;16.0;0.0
1Parallel;OPEN;reactors;0.03038282197657749;0.0;1.0
5Parallel;OPEN;scrabble;0.11235119769046385;2.0;0.875
DisableExplicitGC;OPEN;scrabble;0.03038282197657749;16.0;0.0
ParallelCG;OPEN;scrabble;0.03038282197657749;0.0;1.0
ParallelOldGC;OPEN;scrabble;0.8852339144732015;8.0;0.5
1Concurent;OPEN;scrabble;0.47048642205878966;11.0;0.3125
SerialGC;OPEN;scrabble;0.03038282197657749;0.0;1.0
5Concurent;OPEN;scrabble;0.03038282197657749;16.0;0.0
G1;OPEN;scrabble;0.1939308522824107;13.0;0.1875
Epsilon;OPEN;scrabble;0.03038282197657749;16.0;0.0
1Parallel;OPEN;scrabble;0.03038282197657749;0.0;1.0
