benchmark;jvm;options;iteration;exitcode;duration;DRAM;CPU
reactors;15.0.1.j9-adpt; -Xjit:count=100;1;0;209988440;3130591003;11971634269
reactors;15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;376532986;5392792407;20783304401
reactors;15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;252636221;3726412645;13963477132
reactors;15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;703821895;9920086552;40018658966
reactors;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;663499363;9401563814;38891229906
reactors;15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;793938535;11196556890;47253705691
reactors;15.0.1-open;default;1;0;214583371;3231942884;12070905134
reactors;15.0.1-open; -XX:-TieredCompilation;1;0;202454481;3052369568;11553738794
reactors;15.0.1-open; -XX:TieredStopAtLevel=1;1;0;416186532;6113815526;22660208164
reactors;15.0.1-open; -XX:TieredStopAtLevel=4;1;0;196778155;2994622748;11123739163
reactors;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;211663033;3199684486;11832615216
scrabble;20.2.0.r11-grl;default;1;0;6402093;116409162;457280934
scrabble;20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;6859570;125046839;508147198
scrabble;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;8180151;145780619;656015227
scrabble;15.0.1.j9-adpt;default;1;0;11297985;171277412;693554926
scrabble;15.0.1.j9-adpt; -XcompilationThreads1;1;0;14191956;220167841;968728660
scrabble;15.0.1.j9-adpt; -XcompilationThreads3;1;0;11277839;174991257;737268011
scrabble;15.0.1.j9-adpt; -XcompilationThreads7;1;0;11394035;178013724;760401007
scrabble;15.0.1.j9-adpt; -Xjit:count=0;1;0;25326072;377151243;1514903959
scrabble;15.0.1.j9-adpt; -Xjit:count=1;1;0;13994153;225087511;1024437747
scrabble;15.0.1.j9-adpt; -Xjit:count=10;1;0;13900535;221059006;925404492
scrabble;15.0.1.j9-adpt; -Xjit:count=100;1;0;11449826;176897009;744405627
scrabble;15.0.1.j9-adpt; -Xjit:optlevel=cold;1;0;11469302;177025987;789396843
scrabble;15.0.1.j9-adpt; -Xjit:optlevel=warm;1;0;14028255;219028894;938177897
scrabble;15.0.1.j9-adpt; -Xjit:optlevel=hot;1;0;16391993;256666481;1213397833
scrabble;15.0.1.j9-adpt; -Xjit:optlevel=veryhot;1;0;53094618;892449321;5375454378
scrabble;15.0.1.j9-adpt; -Xjit:optlevel=scorching;1;0;56153207;936431206;5683643775
scrabble;15.0.1-open;default;1;0;7055939;127794352;528667714
scrabble;15.0.1-open; -XX:-TieredCompilation;1;0;8045784;146001765;628612160
scrabble;15.0.1-open; -XX:TieredStopAtLevel=1;1;0;8695311;156043293;740944209
scrabble;15.0.1-open; -XX:TieredStopAtLevel=4;1;0;7218770;129697151;535931550
scrabble;15.0.1-open; -XX:+UnlockExperimentalVMOptions -XX:+EnableJVMCI -XX:-UseJVMCICompiler;1;0;7012740;128554945;523788759
fj-kmeans;20.2.0.r11-grl;default;1;0;11969786;248092819;947538041
fj-kmeans;20.2.0.r11-grl; -XX:-UseJVMCICompiler;1;0;11932632;248226038;937641521
fj-kmeans;20.2.0.r11-grl; -Dgraal.CompilerConfiguration=economy;1;0;15295572;309462390;1313294855
fj-kmeans;15.0.1.j9-adpt;default;1;0;16985966;311163857;1305456803
fj-kmeans;15.0.1.j9-adpt; -XcompilationThreads1;1;0;15913989;295730304;1258601881
fj-kmeans;15.0.1.j9-adpt; -XcompilationThreads3;1;0;16476328;303820576;1295514995
