benchmark;jvm;options;iteration;duration;CPU;DRAM
sunflow;8.0.272-zulu;default;1;4771675.970000001;358210000.0;74240000.0
sunflow;15.0.1-librca;default;1;4281045.196;316870000.0;64530000.0
sunflow;14.0.2-librca;default;1;4291407.558;320850000.0;64720000.0
sunflow;13.0.2-librca;default;1;4170969.223;310600000.0;63820000.0
sunflow;12.0.2-librca;default;1;4299176.118;313290000.0;63620000.0
sunflow;11.0.9-librca;default;1;4845097.415;376870000.0;76120000.0
sunflow;8.0.275-librca;default;1;4491582.86;340420000.0;70340000.0
sunflow;20.2.0.r11-grl;default;1;4380284.531;317610000.0;65550000.0
sunflow;20.2.0.r8-grl;default;1;4327395.767;330010000.0;68750000.0
sunflow;19.3.4.r11-grl;default;1;4844766.324;376080000.0;77090000.0
sunflow;19.3.4.r8-grl;default;1;4859587.027;379090000.0;77060000.0
sunflow;15.0.1-open;default;1;4277155.394;318730000.0;65599999.99999999
sunflow;14.0.2-open;default;1;4233444.9520000005;307610000.0;61550000.0
sunflow;13.0.2-open;default;1;4235163.552;329690000.0;68100000.0
sunflow;12.0.2-open;default;1;4310963.018;330690000.0;66580000.0
sunflow;11.0.2-open;default;1;5114761.903;391010000.0;78870000.0
sunflow;10.0.2-open;default;1;4997116.336;381480000.0;77620000.0
sunflow;9.0.4-open;default;1;4449907.718;324150000.0;66099999.99999999
sunflow;8.0.265-open;default;1;4503472.056;341040000.0;70090000.0
sunflow;20.2.0.0-mandrel;default;1;4380621.367;326530000.0;66930000.00000001
sunflow;15.0.1-sapmchn;default;1;4849288.908;374270000.0;75340000.0
sunflow;14.0.2-sapmchn;default;1;4149568.3469999996;308150000.0;63020000.0
sunflow;13.0.2-sapmchn;default;1;4396770.433999999;329970000.0;66739999.99999999
sunflow;12.0.2-sapmchn;default;1;4396358.722999999;324360000.0;65849999.99999999
sunflow;11.0.9-sapmchn;default;1;4606023.214000001;348730000.0;71170000.0
sunflow;11.0.9-trava;default;1;4485420.916;331640000.0;67340000.0
sunflow;8.0.232-trava;default;1;4845382.002;366490000.0;77040000.0
als;15.0.1.j9-adpt;default;1;207598581.789;14128680000.0;2945030000.0
als;15.0.1.hs-adpt;default;1;171475966.444;11627140000.0;2447750000.0
als;14.0.2.j9-adpt;default;1;208730856.48099998;14203770000.0;2962150000.0
als;14.0.2.hs-adpt;default;1;176312631.46;12235280000.0;2568860000.0
als;13.0.2.j9-adpt;default;1;211249666.176;14298590000.0;2997330000.0
als;13.0.2.hs-adpt;default;1;176580690.718;12312430000.0;2559500000.0
als;12.0.2.j9-adpt;default;1;212211003.69;14155150000.0;3006100000.0
als;12.0.2.hs-adpt;default;1;178056915.804;12185060000.0;2556850000.0
als;11.0.9.j9-adpt;default;1;202918199.11900002;13790930000.0;2888960000.0
als;11.0.9.hs-adpt;default;1;175805998.527;12150130000.0;2525950000.0
als;8.0.275.j9-adpt;default;1;205260789.68600002;13864590000.0;2917540000.0
als;8.0.275.hs-adpt;default;1;203987910.236;14871710000.0;2961960000.0
als;11.0.8-albba;default;1;174470465.652;12041270000.0;2510070000.0
als;8u272-albba;default;1;176461874.554;11435930000.0;2541820000.0
als;15.0.1-amzn;default;1;175019955.391;11889620000.0;2501900000.0
als;11.0.9-amzn;default;1;177893405.87399998;12271880000.0;2564950000.0
als;8.0.275-amzn;default;1;203410202.869;14705870000.0;2956920000.0
als;15.0.1-zulu;default;1;178036879.417;12031150000.0;2540650000.0
als;14.0.2-zulu;default;1;177888954.325;12382230000.0;2590800000.0
als;13.0.5-zulu;default;1;174163504.261;12121260000.0;2513500000.0
als;12.0.2-zulu;default;1;177087377.02199998;12165820000.0;2539440000.0
als;11.0.9-zulu;default;1;178207986.01999998;12262260000.0;2559510000.0
als;10.0.2-zulu;default;1;175636570.551;12023250000.0;2533620000.0
als;9.0.7-zulu;default;1;193188615.505;12806290000.0;2782460000.0
als;8.0.272-zulu;default;1;204741540.277;14873970000.0;2979170000.0
als;15.0.1-librca;default;1;171948656.808;11623350000.0;2453850000.0
als;14.0.2-librca;default;1;174138095.19399998;12057890000.0;2522180000.0
als;13.0.2-librca;default;1;176125280.675;12283060000.0;2552610000.0
als;12.0.2-librca;default;1;178318357.46400002;12297360000.0;2563170000.0
als;11.0.9-librca;default;1;176379394.574;12140100000.0;2529510000.0
als;8.0.275-librca;default;1;204472872.652;14873520000.0;2973260000.0
als;20.2.0.r11-grl;default;1;165091033.086;11232620000.0;2397940000.0
als;20.2.0.r8-grl;default;1;203767804.09;14722100000.0;2962520000.0
als;19.3.4.r11-grl;default;1;159545557.4;10845880000.0;2317580000.0
als;19.3.4.r8-grl;default;1;198019576.881;14434930000.0;2891410000.0
als;15.0.1-open;default;1;172880247.85999998;11678810000.0;2465170000.0
als;14.0.2-open;default;1;177476623.22;12347040000.0;2589080000.0
als;13.0.2-open;default;1;175108680.454;12164060000.0;2535490000.0
als;12.0.2-open;default;1;173980247.617;12020570000.0;2503810000.0
als;11.0.2-open;default;1;176394787.488;12134740000.0;2541490000.0
als;10.0.2-open;default;1;178763780.498;12291220000.0;2588900000.0
als;9.0.4-open;default;1;188371318.787;12522400000.0;2723750000.0
als;8.0.265-open;default;1;203742349.671;14905110000.0;2970790000.0
als;20.2.0.0-mandrel;default;1;177270127.09600002;12260980000.0;2546570000.0
als;15.0.1-sapmchn;default;1;169694138.32999998;11478560000.0;2416810000.0
als;14.0.2-sapmchn;default;1;178282297.447;12362080000.0;2596900000.0
als;13.0.2-sapmchn;default;1;181704309.809;12685770000.0;2642280000.0
als;12.0.2-sapmchn;default;1;177493474.19700003;12231590000.0;2543750000.0
als;11.0.9-sapmchn;default;1;176253866.671;12161860000.0;2529190000.0
als;11.0.9-trava;default;1;173983307.888;12104940000.0;2501890000.0
als;8.0.232-trava;default;1;171791246.164;11241110000.0;2456180000.0
dotty;15.0.1.j9-adpt;default;1;59717427.183;3724250000.0;840820000.0
dotty;15.0.1.hs-adpt;default;1;38870645.103;2602230000.0;553430000.0
dotty;14.0.2.j9-adpt;default;1;57765312.096;3669080000.0;808540000.0
dotty;14.0.2.hs-adpt;default;1;40565010.297;2671350000.0;578170000.0
dotty;13.0.2.j9-adpt;default;1;62334561.007;3834430000.0;866400000.0
dotty;13.0.2.hs-adpt;default;1;42959503.048999995;2961680000.0;620820000.0
dotty;12.0.2.j9-adpt;default;1;63647357.239999995;3890410000.0;883880000.0
dotty;12.0.2.hs-adpt;default;1;41745984.885;2708990000.0;591890000.0
dotty;11.0.9.j9-adpt;default;1;58821658.331999995;3657310000.0;819820000.0
dotty;11.0.9.hs-adpt;default;1;41640731.873;2752830000.0;594020000.0
dotty;8.0.275.j9-adpt;default;1;51667301.921000004;3325680000.0;723290000.0
dotty;8.0.275.hs-adpt;default;1;36702016.991000004;2395800000.0;518490000.0
dotty;11.0.8-albba;default;1;41291373.572;2756090000.0;587390000.0
dotty;8u272-albba;default;1;37907583.225;2501030000.0;542220000.0
dotty;15.0.1-amzn;default;1;40252882.805;2654590000.0;575360000.0
dotty;11.0.9-amzn;default;1;41431673.026;2797530000.0;593180000.0
dotty;8.0.275-amzn;default;1;35880413.933;2384200000.0;509680000.0
dotty;15.0.1-zulu;default;1;39573211.346;2643310000.0;563130000.0
dotty;14.0.2-zulu;default;1;39569444.481;2565850000.0;562900000.0
dotty;13.0.5-zulu;default;1;41306482.106;2732840000.0;590670000.0
dotty;12.0.2-zulu;default;1;43244705.269999996;2805470000.0;617940000.0
dotty;11.0.9-zulu;default;1;40964080.099;2769990000.0;584850000.0
dotty;10.0.2-zulu;default;1;43823738.657;2897050000.0;627780000.0
dotty;9.0.7-zulu;default;1;48294620.53;3181280000.0;696370000.0
dotty;8.0.272-zulu;default;1;35647716.122;2455830000.0;505990000.0
dotty;15.0.1-librca;default;1;39204201.89;2605950000.0;559850000.0
dotty;14.0.2-librca;default;1;40103707.168;2622220000.0;570050000.0
dotty;13.0.2-librca;default;1;41829320.967;2859400000.0;598410000.0
dotty;12.0.2-librca;default;1;43395723.75;2829470000.0;619320000.0
dotty;11.0.9-librca;default;1;41997274.724999994;2826520000.0;604910000.0
dotty;8.0.275-librca;default;1;35131534.54;2317190000.0;495250000.0
dotty;20.2.0.r11-grl;default;1;40274399.357999995;2427310000.0;567020000.0
dotty;20.2.0.r8-grl;default;1;32142105.678999998;2074100000.0;464960000.0
dotty;19.3.4.r11-grl;default;1;39603950.328999996;2378680000.0;555460000.0
dotty;19.3.4.r8-grl;default;1;33544567.446999997;2120949999.9999998;484590000.0
dotty;15.0.1-open;default;1;39635812.678;2626570000.0;565110000.0
